Date,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1940-01-01,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-02-01,1.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-03-01,15.0,40.0,12.0,1.0,0.0,0.0,0.0,73.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-04-01,27.0,107.0,19.0,10.0,0.0,0.0,0.0,119.0,16.0,0.0,0.0,0.0,0.0,7.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,54.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,15.0,0.0,7.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-05-01,120.0,351.0,97.0,56.0,2.0,6.0,25.0,239.0,113.0,20.0,26.0,29.0,31.0,79.0,48.0,213.0,0.0,40.0,0.0,13.0,12.0,146.0,57.0,5.0,48.0,244.0,0.0,12.0,53.0,8.0,93.0,17.0,24.0,132.0,7.0,18.0,0.0,129.0,26.0,62.0,253.0,29.0,3.0,54.0,4.0,35.0,10.0,4.0
1940-06-01,329.0,569.0,293.0,132.0,68.0,42.0,180.0,433.0,331.0,100.0,183.0,199.0,200.0,276.0,241.0,396.0,3.0,202.0,29.0,97.0,75.0,351.0,248.0,31.0,225.0,445.0,13.0,98.0,173.0,50.0,326.0,72.0,156.0,320.0,27.0,97.0,27.0,391.0,139.0,261.0,386.0,115.0,9.0,235.0,27.0,166.0,91.0,61.0
1940-07-01,383.0,666.0,399.0,181.0,142.0,182.0,312.0,499.0,360.0,199.0,305.0,300.0,346.0,496.0,323.0,479.0,90.0,314.0,149.0,207.0,202.0,427.0,381.0,107.0,460.0,521.0,96.0,240.0,290.0,175.0,360.0,231.0,250.0,476.0,63.0,215.0,148.0,437.0,360.0,322.0,523.0,224.0,74.0,286.0,56.0,224.0,206.0,155.0
1940-08-01,440.0,623.0,375.0,197.0,69.0,81.0,199.0,502.0,393.0,170.0,241.0,283.0,184.0,342.0,332.0,456.0,51.0,195.0,69.0,135.0,85.0,444.0,306.0,79.0,239.0,542.0,46.0,115.0,197.0,92.0,327.0,129.0,212.0,421.0,85.0,110.0,64.0,407.0,172.0,344.0,518.0,188.0,35.0,218.0,53.0,198.0,117.0,87.0
1940-09-01,219.0,432.0,188.0,86.0,25.0,12.0,51.0,375.0,183.0,39.0,58.0,60.0,80.0,176.0,98.0,298.0,0.0,55.0,9.0,20.0,37.0,234.0,138.0,32.0,159.0,215.0,0.0,26.0,95.0,17.0,132.0,64.0,33.0,236.0,26.0,17.0,10.0,213.0,118.0,126.0,331.0,37.0,0.0,65.0,25.0,37.0,22.0,31.0
1940-10-01,81.0,164.0,77.0,29.0,0.0,0.0,0.0,204.0,53.0,0.0,18.0,17.0,20.0,74.0,30.0,142.0,0.0,0.0,0.0,0.0,3.0,96.0,54.0,0.0,31.0,71.0,0.0,0.0,4.0,0.0,24.0,0.0,5.0,113.0,0.0,0.0,0.0,55.0,8.0,39.0,163.0,2.0,0.0,6.0,0.0,7.0,4.0,0.0
1940-11-01,5.0,7.0,0.0,0.0,0.0,0.0,0.0,109.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-12-01,9.0,0.0,1.0,0.0,0.0,0.0,0.0,124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-01-01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-02-01,1.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-03-01,3.0,12.0,1.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-04-01,65.0,24.0,49.0,1.0,0.0,0.0,3.0,173.0,47.0,0.0,4.0,9.0,7.0,16.0,20.0,129.0,0.0,7.0,0.0,0.0,2.0,84.0,19.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,41.0,0.0,0.0,0.0,49.0,2.0,32.0,100.0,0.0,0.0,9.0,0.0,6.0,1.0,0.0
1941-05-01,232.0,226.0,195.0,45.0,3.0,11.0,61.0,263.0,201.0,11.0,104.0,99.0,124.0,157.0,131.0,272.0,0.0,68.0,5.0,48.0,52.0,242.0,154.0,5.0,127.0,154.0,0.0,32.0,44.0,14.0,154.0,40.0,67.0,214.0,0.0,35.0,6.0,215.0,79.0,160.0,286.0,15.0,0.0,90.0,1.0,58.0,49.0,7.0
1941-06-01,378.0,378.0,316.0,62.0,24.0,79.0,157.0,451.0,349.0,35.0,187.0,198.0,168.0,239.0,271.0,432.0,25.0,173.0,66.0,124.0,94.0,407.0,258.0,19.0,175.0,242.0,41.0,114.0,108.0,83.0,285.0,93.0,163.0,307.0,7.0,110.0,53.0,366.0,122.0,313.0,404.0,41.0,28.0,196.0,11.0,169.0,110.0,25.0
1941-07-01,457.0,607.0,489.0,210.0,80.0,181.0,311.0,492.0,427.0,203.0,294.0,316.0,298.0,447.0,387.0,515.0,105.0,323.0,158.0,220.0,205.0,499.0,418.0,100.0,367.0,497.0,114.0,239.0,211.0,203.0,406.0,214.0,283.0,527.0,111.0,233.0,156.0,463.0,293.0,419.0,535.0,149.0,101.0,343.0,113.0,293.0,210.0,100.0
1941-08-01,455.0,516.0,468.0,148.0,65.0,117.0,234.0,550.0,437.0,118.0,260.0,262.0,290.0,420.0,344.0,549.0,32.0,244.0,93.0,135.0,134.0,506.0,414.0,59.0,338.0,373.0,36.0,157.0,190.0,118.0,378.0,144.0,173.0,503.0,56.0,128.0,99.0,464.0,251.0,398.0,551.0,98.0,22.0,274.0,47.0,195.0,162.0,65.0
1941-09-01,358.0,325.0,297.0,58.0,4.0,35.0,145.0,453.0,312.0,8.0,118.0,153.0,94.0,207.0,226.0,429.0,0.0,156.0,26.0,66.0,24.0,375.0,191.0,1.0,116.0,150.0,8.0,84.0,66.0,48.0,258.0,14.0,113.0,301.0,6.0,70.0,31.0,328.0,56.0,268.0,415.0,10.0,6.0,180.0,2.0,117.0,42.0,4.0
1941-10-01,197.0,77.0,133.0,7.0,0.0,0.0,38.0,391.0,158.0,0.0,14.0,20.0,9.0,26.0,66.0,310.0,0.0,43.0,0.0,3.0,0.0,229.0,39.0,0.0,6.0,16.0,0.0,14.0,2.0,3.0,113.0,0.0,15.0,88.0,0.0,10.0,0.0,177.0,0.0,108.0,248.0,0.0,0.0,65.0,0.0,30.0,1.0,0.0
1941-11-01,4.0,17.0,0.0,3.0,0.0,0.0,0.0,139.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-12-01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
