Date,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1940-01-01,1063.0,455.0,1206.0,506.0,1450.0,1429.0,1349.0,428.0,1053.0,1178.0,1626.0,1587.0,1794.0,1599.0,1408.0,830.0,1608.0,1347.0,1437.0,1529.0,1911.0,1017.0,1620.0,1593.0,1782.0,711.0,1608.0,1390.0,995.0,1475.0,1123.0,1963.0,1557.0,1288.0,835.0,1472.0,1401.0,986.0,1831.0,1300.0,834.0,1199.0,1732.0,1303.0,853.0,1426.0,1733.0,1555.0
1940-02-01,605.0,378.0,690.0,450.0,1015.0,1057.0,905.0,242.0,621.0,883.0,1059.0,1004.0,1173.0,910.0,851.0,423.0,1251.0,884.0,1089.0,1164.0,1356.0,556.0,945.0,1156.0,1126.0,559.0,1244.0,987.0,780.0,1110.0,665.0,1433.0,1037.0,696.0,632.0,1033.0,1039.0,570.0,1258.0,761.0,419.0,918.0,1378.0,819.0,672.0,916.0,1225.0,1114.0
1940-03-01,390.0,224.0,461.0,378.0,867.0,1076.0,868.0,124.0,460.0,760.0,1000.0,928.0,1077.0,664.0,701.0,210.0,1201.0,848.0,1087.0,1212.0,1378.0,315.0,748.0,958.0,907.0,394.0,1207.0,1004.0,579.0,1126.0,579.0,1340.0,982.0,432.0,573.0,1041.0,1054.0,454.0,1131.0,586.0,216.0,800.0,1309.0,746.0,592.0,848.0,1256.0,953.0
1940-04-01,161.0,110.0,202.0,286.0,652.0,673.0,547.0,29.0,192.0,553.0,548.0,539.0,555.0,346.0,361.0,66.0,827.0,523.0,718.0,730.0,751.0,122.0,382.0,772.0,501.0,248.0,814.0,628.0,389.0,702.0,265.0,823.0,604.0,199.0,465.0,635.0,693.0,165.0,673.0,268.0,70.0,599.0,859.0,432.0,446.0,488.0,715.0,751.0
1940-05-01,53.0,14.0,66.0,128.0,342.0,265.0,151.0,0.0,56.0,262.0,293.0,259.0,264.0,121.0,164.0,4.0,396.0,133.0,314.0,356.0,381.0,29.0,158.0,393.0,208.0,66.0,361.0,215.0,134.0,275.0,71.0,341.0,261.0,40.0,266.0,230.0,310.0,37.0,293.0,122.0,6.0,269.0,358.0,117.0,264.0,189.0,390.0,404.0
1940-06-01,0.0,1.0,2.0,39.0,99.0,67.0,4.0,0.0,0.0,91.0,25.0,16.0,24.0,11.0,6.0,0.0,171.0,5.0,87.0,65.0,110.0,0.0,10.0,196.0,24.0,12.0,129.0,28.0,25.0,66.0,2.0,132.0,24.0,0.0,121.0,35.0,87.0,0.0,76.0,1.0,0.0,97.0,149.0,4.0,143.0,18.0,84.0,149.0
1940-07-01,0.0,0.0,0.0,10.0,14.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,8.0,10.0,21.0,0.0,0.0,70.0,0.0,3.0,28.0,0.0,3.0,8.0,0.0,21.0,2.0,0.0,71.0,5.0,9.0,0.0,7.0,0.0,0.0,22.0,46.0,1.0,94.0,4.0,14.0,37.0
1940-08-01,0.0,0.0,2.0,7.0,49.0,41.0,4.0,0.0,0.0,38.0,12.0,4.0,31.0,9.0,0.0,0.0,81.0,5.0,55.0,36.0,80.0,0.0,9.0,94.0,19.0,2.0,90.0,27.0,13.0,37.0,0.0,59.0,9.0,1.0,47.0,33.0,58.0,0.0,35.0,0.0,0.0,31.0,109.0,5.0,86.0,10.0,55.0,61.0
1940-09-01,11.0,4.0,27.0,52.0,175.0,152.0,76.0,0.0,13.0,184.0,102.0,104.0,93.0,44.0,73.0,1.0,257.0,81.0,167.0,162.0,149.0,7.0,54.0,245.0,50.0,47.0,275.0,121.0,59.0,157.0,30.0,142.0,140.0,22.0,139.0,162.0,151.0,3.0,91.0,42.0,1.0,193.0,298.0,79.0,140.0,130.0,158.0,219.0
1940-10-01,111.0,53.0,109.0,143.0,473.0,555.0,407.0,11.0,134.0,472.0,293.0,281.0,292.0,128.0,216.0,45.0,676.0,393.0,574.0,467.0,470.0,91.0,159.0,574.0,221.0,172.0,684.0,486.0,290.0,550.0,209.0,471.0,387.0,75.0,336.0,519.0,546.0,126.0,348.0,190.0,36.0,491.0,730.0,326.0,378.0,357.0,439.0,555.0
