Date,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1940-01-01,43.0,54.6,36.9,53.3,30.3,26.5,30.8,60.0,45.1,31.2,21.4,22.7,15.6,22.7,29.4,47.6,19.4,30.1,26.3,21.3,12.1,42.8,23.6,20.2,20.2,42.2,21.7,29.0,44.6,20.3,38.9,11.9,22.8,33.4,39.1,23.3,28.4,44.1,15.8,33.2,48.7,36.6,18.4,32.3,36.3,26.1,15.6,24.3
1940-02-01,54.3,56.4,50.4,54.8,39.7,34.8,41.9,66.5,56.6,37.7,35.5,36.2,30.7,41.6,43.3,58.9,27.9,41.9,34.0,29.3,24.7,55.0,40.3,30.1,35.6,44.9,29.8,38.7,49.9,29.0,51.8,22.2,35.8,50.9,43.0,34.6,35.7,56.2,28.3,46.7,61.0,41.6,26.1,46.0,41.6,41.5,27.7,33.9
1940-03-01,66.3,67.0,63.6,63.1,49.9,37.5,46.4,73.4,65.5,47.5,45.1,44.4,38.4,56.2,52.8,71.0,33.7,46.8,37.4,31.6,28.7,68.0,52.4,41.9,46.8,55.5,34.5,41.1,61.2,32.0,57.9,31.5,42.2,65.7,52.0,36.9,38.7,63.1,36.7,56.9,72.2,53.3,32.0,51.8,52.0,47.0,31.2,44.8
1940-04-01,72.8,72.5,70.5,67.7,56.8,52.0,57.1,78.8,73.5,53.8,60.7,58.8,57.8,66.3,65.3,75.2,45.2,57.9,50.3,48.9,49.5,73.6,64.3,48.8,59.0,61.1,46.8,54.5,67.6,48.5,68.4,47.4,56.3,71.2,56.3,53.4,50.8,73.3,53.0,67.9,78.2,59.6,45.2,62.9,57.1,60.5,50.9,50.6
1940-05-01,81.7,85.2,78.9,78.8,69.0,66.9,71.4,85.3,83.1,68.7,70.3,69.3,70.7,77.1,74.6,83.1,62.5,72.5,65.4,62.4,65.6,81.8,74.5,68.6,74.1,76.3,64.5,69.2,77.6,65.6,78.4,68.6,69.5,80.1,68.7,68.8,64.8,81.9,71.5,76.6,84.8,74.8,64.8,75.0,68.4,73.1,63.5,66.6
1940-06-01,87.6,93.6,85.9,87.9,79.7,74.9,82.0,89.1,89.3,77.4,83.9,82.8,82.7,87.4,84.6,87.1,69.6,82.1,73.9,74.1,75.1,87.3,84.3,75.2,85.4,86.1,72.0,79.2,84.8,73.2,87.0,76.6,80.6,87.4,77.9,77.1,73.5,90.0,81.2,85.0,88.5,84.5,71.2,83.2,75.6,80.5,75.3,77.5
1940-07-01,87.8,95.7,88.2,89.3,84.4,81.4,86.4,90.7,88.5,82.9,89.1,88.0,89.2,95.4,87.1,89.2,77.4,86.5,80.3,81.5,83.1,88.2,89.7,83.2,93.5,89.3,78.6,84.8,88.8,79.2,87.5,85.7,85.6,93.0,80.0,82.7,79.7,90.4,91.5,85.9,93.9,88.4,77.8,84.5,77.7,82.8,82.1,84.0
1940-08-01,90.7,92.8,88.2,90.7,80.7,77.1,80.3,90.7,89.3,83.3,85.1,86.6,79.5,87.6,87.3,88.6,75.8,79.6,77.0,75.9,75.0,90.0,85.4,83.5,85.4,90.3,75.9,77.9,84.2,76.0,84.5,80.8,83.0,90.1,82.8,76.6,76.0,87.9,83.9,87.2,92.8,87.1,75.1,80.3,79.0,80.8,74.9,81.7
1940-09-01,86.5,84.0,84.2,79.8,72.2,71.6,75.6,86.0,85.1,67.8,79.5,78.1,78.0,82.0,80.6,86.5,65.2,75.4,70.4,69.6,73.4,86.2,81.4,72.7,81.8,74.3,66.6,73.9,79.5,68.0,80.6,77.7,74.6,84.9,69.0,70.8,70.8,84.1,80.7,82.6,88.1,72.4,66.0,76.9,71.7,74.6,71.6,71.4
1940-10-01,79.9,75.5,79.6,73.4,64.1,57.4,62.9,82.4,78.8,57.5,71.9,70.6,70.0,77.3,74.3,81.6,51.3,63.0,56.9,57.4,60.3,80.5,76.3,59.1,71.9,66.8,54.0,60.8,70.6,54.9,72.5,62.2,65.4,80.1,60.4,58.8,57.6,77.0,68.4,75.7,81.1,63.3,52.8,67.5,58.4,65.9,59.8,59.3
