,Order,Seasonal_Order,AIC,BIC,MSE
AL,"(0, 0, 0)","(0, 1, 1, 12)",336.715665382519,343.6681297231279,5.711317873026063
AR,"(2, 0, 0)","(1, 1, 2, 12)",344.6344938082212,360.85691060297535,7.115086643013765
AZ,"(0, 0, 0)","(0, 1, 1, 12)",161.5913630834069,168.54382742401583,0.5387579635700418
CA,"(0, 1, 1)","(0, 1, 1, 12)",316.3050746034737,325.5213349762904,12.606044438210915
CO,"(0, 0, 1)","(0, 1, 1, 12)",174.66829762069773,183.93825007484298,0.3798862662142031
CT,"(0, 0, 0)","(1, 1, 1, 12)",330.6595673918362,339.9295198459815,8.754417845911398
DE,"(0, 0, 0)","(0, 1, 1, 12)",331.3564652338832,338.30892957449214,3.977001586619656
FL,"(0, 0, 0)","(1, 1, 1, 12)",317.87976184538894,327.1497142995342,4.24808181225822
GA,"(1, 0, 0)","(0, 1, 1, 12)",320.86321073617006,330.1331631903153,3.037744130054726
IA,"(1, 0, 0)","(2, 1, 1, 12)",301.2341350141533,315.1390636953712,3.0733484149729366
ID,"(0, 0, 0)","(0, 1, 1, 12)",230.95514696941794,237.90761131002688,0.513380163851743
IL,"(0, 0, 1)","(0, 1, 1, 12)",305.4634953471827,314.73344780132794,2.5097456635289213
IN,"(0, 0, 1)","(0, 1, 1, 12)",308.16524808431865,317.4352005384639,2.234444386689081
KS,"(0, 0, 0)","(1, 1, 1, 12)",270.3769909746727,279.64694342881796,1.560545617440122
KY,"(0, 0, 0)","(0, 1, 1, 12)",332.0383882715842,338.9908526121931,3.881970832881444
LA,"(0, 0, 2)","(1, 1, 0, 12)",367.36629226469927,378.9537328323808,11.979449399633904
MA,"(0, 0, 1)","(0, 1, 1, 12)",324.5514363037008,333.8213887578461,6.336873902864031
MD,"(1, 0, 1)","(1, 1, 0, 12)",302.0375309695587,313.62497153724024,6.4291173716388235
ME,"(0, 0, 0)","(1, 1, 1, 12)",284.1113845601724,293.38133701431764,2.388516254825824
MI,"(0, 0, 0)","(0, 1, 1, 12)",229.656310086424,236.60877442703296,1.1398820686954525
MN,"(0, 0, 1)","(0, 1, 1, 12)",247.91168927518166,257.1816417293269,0.9100305415221869
MO,"(0, 0, 0)","(0, 1, 1, 12)",329.75122814217326,336.7036924827822,3.5811293605303103
MS,"(0, 0, 0)","(1, 1, 1, 12)",339.6130384483596,348.88299090250484,4.228434157307505
MT,"(0, 0, 0)","(0, 1, 1, 12)",195.33518447110217,202.2876488117111,0.4788729614450186
NC,"(0, 0, 1)","(0, 1, 1, 12)",306.47914825411567,315.7491007082609,2.89402217709002
ND,"(1, 0, 0)","(2, 1, 1, 12)",202.5306646470376,216.43559332825546,0.9248376411924683
NE,"(0, 0, 0)","(2, 1, 1, 12)",245.8106833963708,257.39812396405233,0.9874417426396094
NH,"(0, 0, 0)","(1, 1, 1, 12)",301.0066675848372,310.27662003898246,4.157298041074081
NJ,"(0, 0, 0)","(0, 1, 1, 12)",345.1828892216354,352.1353535622443,5.992606870886695
NM,"(0, 0, 1)","(0, 1, 1, 12)",181.1044269317882,190.37437938593342,0.38340145386065055
NV,"(1, 0, 0)","(0, 1, 1, 12)",150.82110900539072,160.09106145953598,0.2627043672716666
NY,"(2, 0, 0)","(1, 1, 1, 12)",274.1195910622221,288.02451974344,2.4736649709995606
OH,"(0, 0, 1)","(0, 1, 1, 12)",285.50982470749227,294.7797771616375,2.3708134055235126
OK,"(0, 0, 1)","(1, 1, 1, 12)",314.893835697174,326.4812762648555,3.886675948082974
OR,"(0, 0, 1)","(0, 1, 1, 12)",300.4575988017528,309.72755125589805,1.2548035128663142
PA,"(0, 0, 1)","(0, 1, 1, 12)",291.42168805121156,300.6916405053568,4.772771775990669
RI,"(0, 0, 0)","(1, 1, 1, 12)",345.60973870659546,354.8796911607407,8.488228964663936
SC,"(1, 0, 0)","(0, 1, 1, 12)",333.8450444918142,343.11499694595943,1.9640306456858225
SD,"(0, 0, 0)","(1, 1, 1, 12)",228.93701082607507,238.2069632802203,0.6545927430973433
TN,"(0, 0, 0)","(0, 1, 1, 12)",331.54066696856444,338.49313130917335,4.115098497476514
TX,"(1, 0, 0)","(1, 1, 0, 12)",281.55283384450576,290.822786298651,6.600193802363832
UT,"(1, 0, 0)","(0, 1, 1, 12)",177.15318344007432,186.42313589421957,0.5202916269206915
VA,"(0, 0, 0)","(0, 1, 1, 12)",278.3645290764133,285.3169934170222,3.222326267072786
VT,"(0, 0, 0)","(0, 1, 1, 12)",300.42346908730286,307.3759334279118,2.5622527581556054
WA,"(0, 0, 1)","(0, 1, 2, 12)",315.791439755447,327.37888032312856,2.6350666784983074
WI,"(0, 0, 0)","(1, 1, 1, 12)",256.57549924952355,265.8454517036688,1.499189464498628
WV,"(0, 0, 0)","(1, 1, 1, 12)",278.0681664196845,287.3381188738297,3.8125378447347753
WY,"(0, 0, 1)","(0, 1, 1, 12)",170.7151577928175,179.98511024696273,0.296006370665942
