,Order,Seasonal_Order,AIC,BIC,MSE
AL,"(1, 0, 0)","(2, 1, 1, 12)",421.31103439616544,435.2159630773833,12.694447978745702
AR,"(1, 0, 0)","(2, 1, 1, 12)",412.1890905562175,426.09401923743536,8.751867337744677
AZ,"(1, 0, 2)","(0, 1, 1, 12)",355.27749698673716,369.18242566795504,6.376742685581615
CA,"(0, 0, 1)","(0, 1, 2, 12)",354.10860056346627,365.6960411311478,3.8236341705527903
CO,"(1, 0, 0)","(0, 1, 1, 12)",369.4054002246783,378.6753526788236,8.38730449794109
CT,"(1, 0, 0)","(2, 1, 1, 12)",411.4300268060275,425.3349554872454,13.8934694050013
DE,"(0, 0, 1)","(0, 1, 1, 12)",422.5847545223137,431.85470697645894,9.336665306414128
FL,"(0, 0, 1)","(0, 1, 1, 12)",400.3810125086709,409.65096496281615,8.106894108383692
GA,"(0, 0, 1)","(0, 1, 1, 12)",417.92167790714046,427.1916303612857,11.078067842533313
IA,"(1, 0, 0)","(2, 1, 1, 12)",455.02714913922847,468.93207782044635,12.094088466502642
ID,"(0, 0, 0)","(0, 1, 1, 12)",399.07915252239445,406.03161686300336,9.686393123999101
IL,"(1, 0, 0)","(2, 1, 1, 12)",453.4660047200506,467.3709334012685,10.547159868975905
IN,"(1, 0, 0)","(2, 1, 1, 12)",452.7403431113842,466.6452717926021,10.68310837667952
KS,"(1, 0, 0)","(1, 1, 2, 12)",414.40907056648786,428.31399924770574,13.124503952818593
KY,"(1, 0, 0)","(2, 1, 1, 12)",443.64505554984333,457.5499842310612,11.614905117348574
LA,"(0, 0, 2)","(0, 1, 2, 12)",394.89992545253165,408.80485413374953,12.699075763086636
MA,"(1, 0, 0)","(2, 1, 1, 12)",408.35629832297263,422.2612270041905,15.563817081419167
MD,"(0, 0, 1)","(0, 1, 1, 12)",423.51387397270776,432.783826426853,9.907037177767828
ME,"(1, 0, 0)","(2, 1, 1, 12)",413.11351568729856,427.01844436851644,16.843315561912334
MI,"(1, 0, 0)","(2, 1, 1, 12)",437.10862877595923,451.0135574571771,12.567544227531608
MN,"(1, 0, 0)","(2, 1, 1, 12)",460.06028177259515,473.96521045381303,11.7766556607612
MO,"(1, 0, 0)","(2, 1, 1, 12)",436.9457969594543,450.8507256406722,11.168915238863724
MS,"(1, 0, 0)","(2, 1, 1, 12)",416.6776235868117,430.5825522680296,12.440911406238184
MT,"(0, 0, 0)","(2, 1, 1, 12)",425.66327005925154,437.2507106269331,17.086558912377985
NC,"(0, 0, 1)","(0, 1, 1, 12)",423.83700952969855,433.1069619838438,10.47995024584675
ND,"(1, 0, 1)","(2, 1, 1, 12)",461.064592770284,477.28700956503815,15.849185441728956
NE,"(1, 0, 1)","(2, 1, 1, 12)",418.0863574344577,434.30877422921185,13.47963781730371
NH,"(1, 0, 0)","(2, 1, 1, 12)",415.1953118106407,429.1002404918586,17.846755330150014
NJ,"(0, 0, 1)","(0, 1, 1, 12)",418.2180489535796,427.4880014077249,9.060043878262015
NM,"(0, 0, 1)","(0, 1, 1, 12)",348.8277235324991,358.09767598664433,5.131729764897187
NV,"(1, 0, 0)","(0, 1, 1, 12)",385.4509164403831,394.72086889452834,8.126925695576258
NY,"(1, 0, 0)","(2, 1, 1, 12)",432.056551242822,445.9614799240399,15.022226622818959
OH,"(1, 0, 0)","(2, 1, 1, 12)",446.6910057154377,460.5959343966556,11.726716327522677
OK,"(1, 0, 1)","(1, 1, 2, 12)",403.77677324748936,419.9991900422435,11.710312638982863
OR,"(1, 0, 0)","(0, 1, 2, 12)",390.0958801430931,401.68332071077464,6.5063160504145605
PA,"(1, 0, 0)","(2, 1, 1, 12)",433.0331144951152,446.9380431763331,10.989606702771045
RI,"(0, 0, 1)","(0, 1, 1, 12)",402.4771118890859,411.74706434323116,11.150590671111335
SC,"(0, 0, 1)","(0, 1, 1, 12)",421.89576302619247,431.1657154803377,10.509896025329764
SD,"(1, 0, 0)","(2, 1, 1, 12)",450.34083757556834,464.2457662567862,15.154102255327684
TN,"(1, 0, 0)","(2, 1, 1, 12)",436.14549627990107,450.05042496111895,11.926487638394656
TX,"(1, 0, 0)","(2, 1, 2, 12)",363.50990761525975,379.7323244100139,6.836700884256695
UT,"(0, 0, 1)","(0, 1, 1, 12)",386.06441171354544,395.3343641676907,8.267061693139683
VA,"(0, 0, 1)","(0, 1, 1, 12)",426.6116114419523,435.88156389609753,10.070262436114003
VT,"(1, 0, 0)","(2, 1, 1, 12)",427.791202975689,441.69613165690686,18.603846304141765
WA,"(1, 0, 1)","(0, 1, 1, 12)",392.6300707741651,404.21751134184666,7.0411958523990315
WI,"(1, 0, 0)","(2, 1, 1, 12)",454.8184595020862,468.7233881833041,11.399382159139044
WV,"(0, 0, 1)","(0, 1, 1, 12)",440.5431146723694,449.8130671265147,12.817491794436894
WY,"(0, 0, 0)","(0, 1, 1, 12)",403.43037514641827,410.3828394870272,10.072807779767638
