,Order,Seasonal_Order,AIC,BIC,MSE
AL,"(1, 0, 0)","(2, 1, 1, 12)",423.9720462146819,437.87697489589976,12.877428294194681
AR,"(1, 0, 1)","(0, 1, 1, 12)",426.95221386380337,438.5396544314849,25.098391690499724
AZ,"(0, 0, 1)","(1, 1, 2, 12)",382.2965038676581,396.20143254887597,15.857612603652411
CA,"(4, 1, 1)","(0, 1, 1, 12)",381.29314464770243,399.7256653933358,23.53353266328429
CO,"(1, 0, 0)","(0, 1, 1, 12)",391.0402447552525,400.31019720939776,12.595185259216402
CT,"(0, 0, 1)","(0, 1, 1, 12)",415.28155335017726,424.5515058043225,13.005176461941584
DE,"(0, 0, 1)","(0, 1, 1, 12)",432.8968071381431,442.1667595922884,10.731437365102641
FL,"(0, 0, 1)","(0, 1, 1, 12)",391.9527129087504,401.22266536289567,7.149553914822173
GA,"(1, 0, 0)","(2, 1, 1, 12)",428.28228441935664,442.1872131005745,10.494107521080057
IA,"(1, 0, 0)","(2, 1, 1, 12)",466.9149266678264,480.8198553490443,14.418836849329573
ID,"(1, 0, 0)","(0, 1, 1, 12)",419.9484086987805,429.21836115292575,10.936546138945529
IL,"(1, 0, 0)","(2, 1, 1, 12)",466.2358779479424,480.1408066291603,12.671311674462135
IN,"(0, 0, 1)","(0, 1, 1, 12)",465.50711567660557,474.7770681307508,14.96843726137841
KS,"(1, 0, 1)","(0, 1, 2, 12)",442.8799952963656,456.7849239775835,23.46214330561278
KY,"(0, 0, 1)","(0, 1, 1, 12)",455.53067734181525,464.8006297959605,14.237561644610345
LA,"(2, 0, 0)","(2, 1, 1, 12)",398.52089962670084,414.743316421455,10.814113779289388
MA,"(0, 0, 1)","(0, 1, 1, 12)",412.69415938653805,421.9641118406833,14.360977103841286
MD,"(0, 0, 1)","(0, 1, 1, 12)",434.9231525924233,444.1931050465686,11.180754512198947
ME,"(0, 0, 1)","(0, 1, 1, 12)",410.44594190429973,419.715894358445,14.515632818741596
MI,"(1, 0, 0)","(2, 1, 1, 12)",447.23261891030927,461.13754759152715,14.912668029496364
MN,"(1, 0, 0)","(2, 1, 1, 12)",463.94309722870196,477.84802590991984,15.76640373332458
MO,"(1, 0, 0)","(2, 1, 1, 12)",454.62382008422895,468.52874876544684,13.486642916001257
MS,"(1, 0, 0)","(2, 1, 1, 12)",419.3063706972605,433.2112993784784,12.874771499545723
MT,"(1, 0, 0)","(2, 1, 1, 12)",447.976429775132,461.88135845634986,18.946781927574246
NC,"(0, 0, 1)","(0, 1, 1, 12)",436.847355295087,446.1173077492323,9.900626422244992
ND,"(1, 0, 1)","(2, 1, 1, 12)",477.7664392013167,493.98885599607087,23.249559720375213
NE,"(1, 0, 1)","(2, 1, 1, 12)",444.25310372404635,460.4755205188005,20.756245971483363
NH,"(1, 0, 0)","(2, 1, 1, 12)",417.6849670485525,431.5898957297704,16.157972850776158
NJ,"(0, 0, 1)","(0, 1, 1, 12)",425.7712299540192,435.04118240816445,10.949002957578788
NM,"(1, 0, 0)","(1, 1, 0, 12)",385.6772782578022,394.94723071194744,15.492789105371488
NV,"(1, 0, 0)","(0, 1, 1, 12)",407.1981896591416,416.46814211328683,10.042504518836735
NY,"(1, 0, 0)","(2, 1, 1, 12)",442.26735106013035,456.17227974134823,15.891484601973685
OH,"(0, 0, 1)","(0, 1, 1, 12)",460.7706903371258,470.04064279127107,17.9665116463969
OK,"(1, 0, 1)","(0, 1, 1, 12)",429.62395919993867,441.2113997676202,34.72578440666675
OR,"(1, 0, 0)","(0, 1, 2, 12)",412.81085265269934,424.3982932203809,6.903010454790119
PA,"(0, 0, 1)","(0, 1, 1, 12)",446.1350217270517,455.40497418119696,16.213914937674065
RI,"(0, 0, 1)","(0, 1, 1, 12)",404.4095842540754,413.67953670822067,12.38943746418874
SC,"(0, 0, 1)","(2, 1, 1, 12)",432.0154074701628,445.9203361513807,8.36328118060244
SD,"(1, 0, 1)","(2, 1, 1, 12)",469.37982936703685,485.602246161791,25.008228591218494
TN,"(1, 0, 0)","(2, 1, 1, 12)",446.17521497394597,460.08014365516385,11.76865360926563
TX,"(1, 0, 1)","(0, 1, 1, 12)",401.9546342622413,413.54207482992285,23.32204488306355
UT,"(0, 0, 1)","(0, 1, 1, 12)",401.179703844867,410.44965629901225,11.668487907301914
VA,"(0, 0, 1)","(0, 1, 1, 12)",443.012270644509,452.28222309865424,10.937490880143631
VT,"(1, 0, 0)","(2, 1, 1, 12)",427.8442913328485,441.7492200140664,18.401219993682016
WA,"(1, 0, 1)","(0, 1, 1, 12)",410.4705852144873,422.05802578216884,10.467820836054127
WI,"(1, 0, 0)","(2, 1, 1, 12)",459.4071322161516,473.31206089736946,14.658794160657596
WV,"(0, 0, 1)","(0, 1, 1, 12)",458.37975541571626,467.6497078698615,16.74163619063176
WY,"(1, 0, 0)","(0, 1, 1, 12)",424.53518124413625,433.8051336982815,10.757119727982635
