,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2017-04-01,65.47726578022919,59.95294351656861,63.14189699784703,57.974811905392215,45.32503532322743,44.653102315898415,53.69435260994185,72.99356816130827,65.68898182051934,44.28707523794425,53.20180641724431,52.484879971960154,49.075427757818524,57.968600643331605,58.01067613232568,68.99009200998715,36.91460107056856,53.26599822643672,43.41965780337088,40.44485633812783,40.84599028551262,66.35820641592767,57.513698683128176,41.938299120931426,50.492344870424816,49.57859861515197,39.03780914387234,49.71175201987686,53.98229455332123,40.434498272699685,59.96151065915425,41.56619102073221,50.929780096187606,64.49066752268597,47.69993489361015,46.93207999490761,44.995876506008806,64.48507555298836,44.96561369781617,60.32990276496431,67.27198990086889,48.441779699628924,37.65299315580457,56.03979333328847,44.59459935947953,53.58910998751614,40.92029006242259,41.16642215148662
2017-05-01,72.40440915059656,65.80368976823873,69.65432083294479,63.09802881198495,52.008611240265054,56.44561345779933,65.48611361963191,78.41320806265388,73.17795138416884,51.353896544026895,63.84945072922361,63.21115723246973,61.03433378507571,65.35397037394844,66.24513862679679,74.57507314723719,50.68639717904308,64.88914524392985,55.29996307837831,54.70352452201499,55.47544753733026,73.04344635095703,65.49255950088555,51.93323573890826,59.970835412916486,56.369380482782354,52.296510465015736,62.793916257527115,60.31655485885035,54.73625424275332,68.76688703294812,55.8257620202998,62.25834304539138,71.07997762146054,52.540226718199136,58.671212760159534,58.9851912900636,72.51261469735152,57.30077074945371,68.08266518615956,72.75188759259734,55.94190483459128,52.02578283190445,65.47110146156164,51.6576758994735,63.415021431912834,55.27747054630617,48.94630696976943
2017-06-01,80.430787232582,79.59784673007617,79.49219357206397,72.97761501281222,65.97166904927094,65.86554350076261,73.81466346102938,83.22372014258745,80.54936515186445,61.12952812646392,73.76881346526207,72.5724386588277,71.37237396484066,77.26536080359543,74.77054598996685,82.47689623150207,59.67490238230531,73.08912641602366,64.67998186081647,63.877929142013926,64.85293126792858,81.52781086336427,76.03756399149702,59.02602795277555,72.06291419715942,68.94633392366656,61.441098760529854,70.86532032090149,73.33191160884171,63.20440472576978,76.69544760553055,65.31481709965492,70.95771458729149,79.97307395772873,59.59215349145329,67.04914185171074,66.2137388469534,80.36974325150264,67.3535368424306,76.5252473175861,80.94555105928124,69.3788908233667,60.89593636271938,73.2996573722175,57.86019623446028,70.6292899364105,64.83917161772175,61.84946449746826
2017-07-01,81.86413403998172,81.68888327765929,81.24746679965186,77.9426093335135,69.13492266713958,72.95764151126993,78.95751076384644,84.44691506338697,82.67793072149836,67.19522713676557,76.63416909760733,75.37462406073864,75.12947210842928,80.45582262866118,77.67845865975312,83.87228504412862,66.23148696630945,77.83197109889583,71.70236188693897,69.08187120442709,70.66193521128098,82.14176866582017,79.07472651089014,68.85790001798694,75.98271338746754,75.23863407140824,67.7741321133175,76.62244982355149,75.50874988508411,69.23369331095793,79.66686931174857,72.0393556657418,74.89341486425035,82.9247684733787,66.7062587651683,72.39445452394236,73.44229557903282,82.9840226015866,74.28585128127224,78.88558914372128,84.16524602041589,74.68668633243465,66.52852932554902,77.04250378745168,64.06628956753953,74.01499188821262,70.07451990305059,67.53666763740895
2017-08-01,81.78105156228953,79.40401516110043,81.31237696961074,77.05203411575131,66.37034288709222,69.26519082709261,75.54324381430028,84.60193419464764,81.69221887440278,66.23061257861045,75.21245899084879,73.94407942345543,73.11517155732903,78.64399488690091,76.7766189709411,83.98213853467051,63.774946156422544,74.68913126407257,67.98846389788034,67.04999815263977,68.30889711671752,82.78385749671955,77.94050842812395,66.78194974335123,74.23515981094089,73.26740744047866,64.2848835203359,73.43674580301064,72.31572692472982,66.29808278483664,77.50973562968711,70.08020319851956,73.09272102282617,82.56064443592655,67.26128981739896,69.1965124959375,70.8137492287378,81.0268837203104,72.19101187570463,78.33355817007447,82.1761547476886,72.31650973970412,63.545618326827324,74.4996600394324,64.52973890691126,72.18643019019207,67.78623393009694,65.53374029222897
2017-09-01,76.91159162024695,74.0391072803567,74.28903112756977,72.22440309198835,61.157191738738874,62.4993378145448,70.01469378368294,82.02092139205631,76.63509021683372,57.46649325656148,66.63305239277881,65.95760741000196,63.29896560384493,69.26656433851586,69.44285355957089,80.48474214687826,55.83090422633003,68.97486961375299,61.07042731116107,57.29617271265404,57.43658559085789,77.77094049600286,68.60763965860389,57.52872617611018,65.27124840046983,65.92941783455677,56.73795691210866,67.76533669437153,67.43527851201371,58.61194857521417,72.43832716812874,59.750392587194824,65.11803043777556,74.80974555849551,59.66925634225246,62.30341740578098,64.67090852570382,76.08404059803004,62.46105682236429,71.77004771350587,77.36023811249987,64.92453934533849,56.13153901124377,69.12825417519477,56.40250031446734,66.58645220503777,57.371664638159444,57.87029004295403
2017-10-01,65.77620682465052,65.03701833347893,63.182156009837186,62.75168960814604,50.83885814745074,53.00475488609853,58.671859791176665,75.05069515375155,66.47797137447824,47.77159924520173,55.88457461317745,55.23053850652813,52.255972169172985,59.80536409101145,58.467259709460556,70.67915705864402,46.616408687306674,57.43203715305309,51.72358646264761,47.81017143093512,46.26000620514101,66.50336143981713,58.31400349421163,45.73414812925564,53.351726321248265,54.70906877649842,48.0427758444606,55.922507813552905,58.16582117250735,49.80483081394014,61.509782234069704,45.89222046056412,54.5569985962788,65.6760819983243,49.94440245062642,52.216856090972016,53.87092149553349,65.29835145847898,49.046784661296684,60.57811189539983,69.46924339748098,53.00676887504291,47.640409673088044,57.81399246356378,47.829582797332776,55.07219666418906,46.78343720463443,46.517705806758265
2017-11-01,53.89942475353732,51.95994904066212,50.6775623545483,52.93034940522871,37.61276841533191,39.57953952518921,47.414751820471395,67.7796322464473,56.49227958820488,34.98456041079353,41.61910097077355,41.3592880144699,36.6666075105218,45.843001813493714,45.13465579525147,60.32644246665193,32.275059014742425,45.989213975245185,38.510124932222965,34.43451869956337,27.981475276863954,54.235257854769614,44.69133415318392,30.693806544169952,39.27320240443586,41.66894948495907,33.319259358627285,44.89396967260356,45.15533374449105,35.133309609323774,50.72409140558675,25.838321352003156,40.98518763147925,52.18627300532381,41.498692394080706,38.61470486024488,43.42810531783497,54.784089141586605,32.43496201010218,47.863130935488805,57.15268292577317,39.389971790935626,32.27943477143748,46.6997359008196,37.34989496623683,43.90079923117078,31.960393294511732,32.6973770015599
2017-12-01,48.93186922045644,43.81822796434739,41.702102188683355,45.59695913402621,26.429598989976935,31.017485449948143,41.54261946439759,64.6185430495296,52.48592059290425,24.07063035494516,29.09029880538109,30.475683302104,22.573778352762005,32.65260106512066,37.38985750874314,53.877075236240685,21.358380996349524,39.92272988370592,29.91000656185976,22.983433008985727,13.36648197266696,48.31472891013647,32.95873561779832,21.980020800011193,26.56385045810691,33.25823239579127,23.740460242161078,38.432136742693224,37.27643208177695,25.305878684616882,46.23613888829391,14.16901026121646,31.689042379431875,41.11063276706612,31.326728136605833,30.45481680164491,36.167577030419864,50.8231836485327,20.458393706268367,40.91368675991546,48.71258141347763,29.69322690973203,22.22832735011448,41.23307042530733,29.0278668085543,37.85954475304756,18.309390609688688,21.596347930505924
2018-01-01,47.015851240102755,43.56617181666015,41.19882212126018,46.425850630491965,26.673576328183255,25.62845400569629,34.4559671084106,60.239508532200965,47.850314834608795,24.54155782630929,26.88392325584306,27.618971587842736,20.600303510981185,32.3567100537226,34.816616705630814,54.11859538249387,13.889417759191216,32.97366543356511,24.11725713870626,18.12524872631171,10.120000061130927,48.075667188354736,31.906639206832075,23.92886700714607,26.582797235983463,34.15469889729317,17.00361872911477,30.782593100737884,36.367503010417614,19.803479985322483,40.98431523974145,13.94254697564181,27.893007491205683,39.88065834664172,32.278593506715104,25.545633263228403,28.826365747348905,46.17324164265655,20.761878026687974,39.03790943020326,48.28935869449337,29.14618317959388,15.328853326591235,35.35512939368477,29.530093802302492,31.138479367972216,14.033313133129605,22.515025625124917
2018-02-01,49.292344331586314,49.749074427258705,43.30206368960205,49.32120077771053,32.940098453998466,25.253213006079022,36.25595257669411,62.82693511730306,51.0627905950797,31.323427963496673,29.093386514224633,29.518559768950773,21.44490295266464,36.08038586603236,36.57988609476551,57.04036009217475,11.779448104781018,35.18614892069078,23.18248356761915,17.880779183272764,10.843871060170283,49.96087947133133,33.51700281154741,23.790451292074955,28.693983883012464,38.857512172878806,15.649462652946854,32.782568465571096,42.568212067201316,19.454970846272026,43.82180074400757,10.187121593633114,28.793511505765025,43.74725423138595,36.87346024191733,26.387544800742035,29.413820590282196,49.14822018142211,19.46213357212651,41.01684333255108,54.72169414611876,34.81165826174791,13.689771358556849,38.24261650572653,34.0339823008611,34.11346008586122,15.715741251038287,26.58452651820875
