,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2017-04-01,78.43305401069402,74.68282404859617,77.97239471478468,69.6318638279043,59.11358678038895,56.04333598479498,63.999452754121506,84.2242887755081,78.95583407185902,56.57341465478162,64.73520506134223,63.35593434960823,60.03413207205712,71.28510373337151,70.33512278765066,80.9458582838712,47.67665069416316,63.9717739937659,54.794785370395985,50.78221600440173,50.56410072270465,78.44489820995996,69.4763798191965,54.77327309143452,63.89036552779677,63.42323948087585,51.631534383385244,60.547888501815535,70.01101671483485,52.81710440454113,71.9238999741921,52.09976080354572,62.44643453610391,77.16011077854314,59.57346540231541,58.989108568038105,54.770690461722815,77.21712881388044,58.15975136864463,73.54424614393896,82.92276081110163,61.55872641553324,49.80711746191649,68.0683052409658,55.27556159170442,66.51222104042587,50.45271353414535,53.98391313199138
2017-05-01,84.06186602325607,79.2592780814357,83.66434934503684,73.09457461937599,65.19925580658274,71.20250878758823,75.71228812553244,89.20843067488296,84.72618155039598,63.88431531366227,74.68650673636262,75.25729351688597,72.44539255849227,77.8117137279297,78.21866982603434,85.57535494133278,63.72889251470587,75.40133047724267,70.20477320087109,66.57847353849688,66.42619107703986,84.12261028002433,76.60152256924842,64.63382958701422,73.33328972664583,70.14471180410204,65.40624319630612,73.68325909074112,74.40111642678976,67.43267357065852,79.61032281835372,67.15687752893852,75.17164697742132,82.37344892718114,64.84933837888397,72.57675820680291,69.60187043138035,83.19092376052852,70.43162783209019,79.46827923135783,87.45855705464538,69.02479115197417,65.03615593769338,76.44074130606938,62.67782781786696,75.84524263376771,66.53827079925098,61.309093745387
2017-06-01,91.1492962619779,95.9312523299814,92.99097311477063,82.75594988556566,81.46036408011632,77.63105527331591,83.96940239421608,92.69415348831998,91.16308427151843,75.8025605762872,84.59460349712847,83.20011788973484,81.65087843941131,91.37929767720088,86.4043548582277,91.9939974273908,70.11443770710301,83.38702581898562,76.36189369985516,75.21444315752429,74.91518815712726,91.88996403769924,87.12043222909026,72.21206535571969,85.69780477385643,85.30071511725914,73.56168915617832,81.75465962376403,88.29956288265923,74.83233158839926,87.26744861347073,76.17936346371225,82.22876257574738,93.82266543808707,73.02168272595415,78.99102173652922,76.3589853883552,89.9084564201837,80.78310185608483,87.44486865772772,95.3380445681975,84.88752207107154,72.82488523665549,84.04072041102131,69.62794338674328,82.15950974842923,75.23958159182871,76.86637361946242
2017-07-01,91.56381427908936,94.93593969109955,95.05722696112139,88.70278593474859,83.56855802894478,84.25961096730425,88.64081752434947,93.23709757240961,92.46340437369236,82.8551246633425,86.9263265603767,85.81436862151124,85.46982955214125,93.77481807254341,88.41862863922516,92.63584688335597,77.35711081558128,87.87271915438325,83.43329803711605,80.4538386712644,81.07935223206688,91.84262039435268,90.19480147569735,84.16037931711224,89.7706475980337,90.71334405894474,79.82623453563801,86.99750068022085,89.3311087610195,80.78110120119261,89.42458417292058,84.13922460798213,85.44302018944482,97.16015005194238,82.23428673150214,84.04813984099061,83.21610606805923,92.22585673177402,88.3081627977587,89.08169316365044,98.75494213930222,88.84431951156539,78.52018452383554,87.21213422059974,76.4710795966844,84.93091804483228,80.466056599039,82.98082827574547
2017-08-01,91.88108004579067,93.12948730705462,94.00349190810223,88.9790502560709,80.66181929800108,81.40247927620194,85.24082698764951,93.22274244552486,91.60150117236103,82.09024770791754,85.75918781017907,84.38581995806472,83.8188675278456,91.34818166157272,87.20434931837485,92.60835692767465,75.57171910022512,84.6870590265101,80.67618949036414,78.2635643883717,79.37063807569545,92.57461943763404,88.93029883721846,81.43005262605882,87.80857461696229,88.89365569159895,76.70741936541897,83.94037527429649,86.71734844664658,77.55287209695302,86.81030886901436,82.48375341657432,83.85732989404389,96.27091823203588,83.40244302714275,80.90532009853752,80.90186456632291,89.80783351012417,86.04224934290238,88.73715653380327,97.78043415034695,86.15008399146586,75.50635278723422,84.26929843573508,77.49155714623357,83.15950970830126,78.64690196881048,81.21419021700666
2017-09-01,88.17588032137066,87.0246509224282,89.02613515023049,84.18458946420382,75.82902466068313,75.44535762553541,79.76942099902388,90.66559366619327,87.67896191904478,71.56028578420067,78.2998169138987,78.42873425920622,75.0338772339143,84.32264201737203,81.8043755742076,90.04513079435172,68.10050278373387,79.17280191695026,74.27620994906819,68.7031114289787,68.57069681858277,89.06839898086253,80.47219723516568,71.17629138851613,80.03879816371065,81.02936900932838,69.57420045013771,78.35468394153527,82.57512168654331,70.51624815757678,82.16746739076264,73.17889670081316,77.8716639736354,90.75531004716584,74.47432367974672,75.19107277247448,74.90188046701957,85.8985274506921,77.5305860469268,82.95405296946429,92.33560667216167,78.79587962311119,68.61222222742823,79.36932262440851,67.55580392314018,78.30240363227524,68.20689903372278,72.88523919326882
2017-10-01,78.84551997830214,78.7058935538834,78.52320773246916,71.96317743534622,65.11158306359063,63.34538751210301,68.49802887310446,85.12283588552665,79.06946723535191,59.002506122360735,67.2880327838651,66.74307120991278,63.894135320098954,74.65912366369547,70.80441978587002,82.25417826607966,54.87165888189668,67.47283512519164,61.71908052703374,57.50278937493631,55.56316148279013,79.75473352107025,70.68709190607477,57.25445419577443,67.93075024594033,68.30827354442849,57.74052380789315,66.18328779279848,72.87963834200865,59.32555676737485,72.69607048393306,56.97737859267263,65.55742231893079,80.64490881513532,60.42256010018722,62.576813954413666,63.50188945069947,77.46669170628918,62.61682120955393,72.59465452105971,85.1974183282943,65.68640733805974,56.85825949846397,68.62650075266272,56.0325753167216,66.24530126097672,56.70403980022768,59.29983563511836
2017-11-01,66.56796478601265,64.12709178050574,65.15516739909741,58.96532851717101,50.93325415981671,51.84542536013526,57.39806667968508,78.20862580636751,67.82068501620854,44.17356906436053,51.77651399342127,52.928857671408984,46.48545216683935,60.68763154602266,58.81875589112918,70.1453204852113,42.17172609322915,56.11574715798004,50.74769435217873,42.49693940488168,36.20002895808226,66.95224328751495,56.323627668207685,41.87373644455371,53.179655113498406,53.78278283812551,43.5484036481252,54.98332926818434,58.89254076590312,44.819000006640216,62.35324390964651,35.98888919752936,53.22890980342838,66.80043056465315,50.20842472470565,50.762579793419654,52.801938926684954,65.53469073975599,45.58134254985148,59.447034448010506,72.11798480229399,50.809662944387426,41.939322366170366,58.09797042416989,43.96753043628243,55.431059580961865,39.632319227603546,44.16807829857132
2017-12-01,59.009974695245326,54.65046157007793,55.912341778114126,50.94895849812636,38.40637981087339,42.79781117859661,50.06391988187303,74.55226900382841,61.12529214148623,32.006605959854554,36.76091457690444,41.02777697944196,30.175617290932642,44.06900927762243,48.796745441397775,62.48827578634542,30.79519097861449,48.31445913374556,41.306365879725284,29.881759105980265,20.79092002028157,58.173062868507586,42.140572073437156,30.537391599615034,38.748786229569575,43.20883751831878,33.26330521447418,46.84358706396365,50.469748553869884,33.90919048577984,56.10077871132914,22.95412711259125,42.15271040280224,54.78375735873175,39.26347235783543,40.938918875121026,44.44444522583923,58.83759858334299,31.210027397809302,49.692091025915474,63.664203951332006,39.198056443051904,31.382373737888024,50.38122349225888,34.02800353390239,46.33566504384042,25.004169892870177,32.324917064969476
2018-01-01,57.78646710595113,55.84436562326769,53.16786314979858,53.59243869747382,38.51300641702887,36.11371351524006,42.9122405576623,70.77228064052325,59.47494882172043,32.89457223823836,35.152247555786246,35.41301260747407,29.471418250128682,44.64198694161331,43.52303757589586,62.34717013664631,25.375633127152565,41.48925973199865,34.85555483659225,25.844879663872355,19.11134343630519,58.318080968667395,41.99542528969817,33.310642657295325,38.426258015383695,44.1305492573636,27.800378155482356,39.53315505900573,48.395483610616864,29.32034619031974,51.13500342529733,24.126369873662078,35.93447670924466,54.20427373592137,40.67347261415117,34.183026633439,37.580866471686576,57.68305007343421,31.711913466541045,47.978041998713444,62.64453965139086,39.03771530569337,26.05828258325326,44.622832594784796,34.50204569118548,40.14579805220062,22.01867809963701,33.32062528865975
2018-02-01,59.642150500381554,64.81737823222475,56.97902484558597,56.37171459628651,45.497031221808534,38.08868227489191,45.36220191115983,73.54731596403475,62.072215879251765,40.01267077366186,38.722549834941255,38.98797736267464,30.470930717272843,50.701027893778,47.48548928186692,64.99438991010928,26.912857409327426,44.55176346028323,36.76802526219688,27.027574606297172,20.90099941976718,59.90331083340225,44.38454848303118,33.79293081332453,40.348160885254096,50.17264180604545,28.053262727790766,42.15812284496264,59.11375300919748,29.65162416277189,54.50997944334025,21.366028192709773,38.94694874718289,61.2178479388207,44.881619339818556,37.208012991786696,38.855828495027296,59.90061321583035,32.01234969870333,50.44273230636906,69.87095429101542,45.73222744901195,25.603829043520868,48.447811702600575,40.6941221027453,43.920768190276554,24.903052199116495,37.11246566680071
2018-03-01,68.78475836995516,70.5817511812374,66.33024068785447,60.95438078090914,54.76290622139802,47.06364436160876,54.59967294409254,78.69725765063562,69.33725630793693,48.8856617844274,50.94892339291258,52.350373956942384,45.811677785339576,61.53426397969994,59.31044786318304,72.03754537043352,36.24950737225246,54.41415103315066,45.28042740540379,39.31323255549895,37.094673273702604,68.98808883369615,56.76192001367202,47.91814634520266,55.27062900089962,58.51589155729183,37.117034101999735,51.43307688102392,66.76234860502652,39.16136855007892,63.284944695691564,38.161727381224445,51.34685533804261,69.34929328617496,52.11506397619522,48.19541332230794,47.09321277740065,66.63514024982503,48.25237752843861,60.76298122876209,75.91009369001476,56.21370437939078,34.37036205675879,58.110257413246245,48.01687233767036,55.14570210910483,39.187430115788274,48.743191755847214
2018-04-01,78.36693438181098,74.53389287456267,76.65542349974446,65.599985440386,58.55585338728342,59.18152984808416,65.7745698385197,84.9625958734574,79.25439221270982,57.05744719527365,65.50952289947438,65.04480335221294,61.09959154563662,71.13940485493434,71.46479510653614,79.9567688847789,49.34692359635198,65.83556465455588,57.692249323939464,52.49752861947229,52.35228685275085,78.46171184904883,69.39512559752613,55.281971707397226,64.08989388428672,63.59556468076411,52.80630057567258,63.2515275055505,69.02179982585673,54.8406938998627,72.92539447447083,54.20462727120543,64.34010308484149,77.48922177434643,58.212193352209695,61.08151351693782,58.077019332698775,77.59860121723173,59.486698755157,73.23727054163044,82.87076457405757,61.42589844929475,50.98736881144214,69.23124919119843,56.3834793326606,68.03467840303936,52.110190885551674,53.99189126568397
2018-05-01,84.6645175032627,81.0215348002952,82.56040113736225,71.19080005464251,65.1777899992946,71.1889057399255,75.67614361868895,89.58560752780177,85.5128639481012,64.26776094619765,75.73505606819455,75.33243164863694,72.19534083794025,78.41165364565234,78.43770713144137,85.37856212125197,63.50396078885601,75.37673955774737,70.15601671044031,67.12166190022809,65.07822464982567,84.92430660387964,77.22212426376942,64.04045819735364,72.93700275514774,70.44122800215096,68.12731912531534,73.64342489612731,75.11772408896846,69.83025555725146,79.77368051944094,65.8794891488579,75.36821881061687,82.73244955260326,64.8102176555466,72.64244752461782,69.55595916035794,84.19921106183934,69.0639510674207,80.42730783329056,87.46423962966755,69.40201405622521,67.83776807713645,76.490283049075,63.661873287813926,76.11377656293259,66.35485501805681,61.53660145953552
2018-06-01,90.96319079359701,96.37479919229413,92.07463080887325,81.7465309342742,81.60051978915648,77.61745222565318,83.93325788737259,93.07133034123879,91.19839901904776,76.16918899763436,83.12460524424982,83.27525602148582,79.4541087670744,91.27268443615623,86.62339216363473,91.66300823742775,69.88950598125315,83.36243489949032,76.31313720942438,74.19088384422889,74.63643141123401,91.71517556844096,85.8142364386097,74.33532338343649,84.40404232191918,85.64050277507204,72.45650424727918,81.71482542915022,89.26893957438666,74.09172233056574,87.43080631455796,76.26585994311705,82.42533440894293,94.20944673602017,73.66393127052004,79.05671105434413,76.31307411733279,90.43103846201373,79.68279577370083,87.1974070502972,95.39643013025307,85.26474497532259,71.59779974158543,84.09026215402693,70.50125213646886,82.4280436775941,74.28489096127844,77.14383356946524
2018-07-01,91.64753898426504,96.08625523778764,94.30610612504034,86.62826472936015,83.757423589617,84.24600791964153,88.60467301750599,93.61427442532842,92.28234455328754,83.21894140076482,86.8694965281457,85.88950675326221,85.34261644865686,94.49476953095603,88.63766594463219,92.7650679351601,77.13217908973142,87.84812823488795,83.38454154668527,79.64282079275308,81.12360205469957,92.1090717610349,90.24508326033208,83.99143535025264,89.96198748016239,91.06820864872401,79.14786225199343,86.95766648560705,91.91727434827337,79.99282888162998,89.5879418740078,84.28113808651811,85.63959202264037,97.5727518694003,83.69050443118172,84.11382915880553,83.17019479703683,92.01820285121484,87.99642443125846,88.62938013575435,98.86148411690692,89.22154241581643,77.89009742764443,87.26167596360536,77.24539426883734,85.19945197399716,79.89091211096441,83.26965446560381
2018-08-01,91.72476892770263,91.87420315847012,93.39787893627104,86.09532868262112,80.86536514196676,81.38887622853922,85.20468248080603,93.59991929844367,91.31964402844457,82.45359435749923,85.28438049686902,84.46095808981569,82.80380646914675,92.3848709265171,87.42338662378188,93.57756345711415,75.34678737437527,84.6624681070148,80.62743299993336,76.68131202657254,78.40673543167071,93.0143221123199,88.75767018085223,82.49931739607857,88.14646016591865,89.25377348704217,76.72247502557062,83.90054107968268,84.96876749209497,76.69194146575744,86.97366657010159,82.91180784700902,84.05390172723943,96.70751872080993,83.73406271821433,80.97100941635243,80.85595329530051,89.48814528364554,85.74937291578237,87.94730354130839,97.93097819479982,86.5273068957169,75.54763902176619,84.3188401787407,78.1773751808225,83.42804363746613,77.23818112561376,81.50560270568114
2018-09-01,86.86343053555628,87.32196297533359,88.54866859049748,81.43517049113817,76.03699488103994,75.43175457787268,79.7332764921804,91.04277051911208,86.4724200390866,71.92355383939415,78.02370126208315,78.5038723909572,75.56569744409101,85.36720358840013,82.02341287961463,89.99862828188427,67.87557105788402,79.14821099745497,74.22745345863741,68.7712254440418,70.39386334437242,88.35405127317954,80.37789071008473,73.03691046475136,81.03591110518207,81.39131716188994,70.75370399130034,78.31484974692147,81.23080926302201,70.93299014128858,82.33082509184986,75.16911310868004,78.06823580683096,91.21421590529486,75.70441874968064,75.2567620902894,74.85596919599716,85.10149586723584,79.1427844439097,82.1166435904142,92.5263568213429,79.17310252736223,69.99439048941187,79.41886436741413,68.16250960018031,78.57093756144012,68.84032984227689,73.17724017397332
2018-10-01,77.28086148429811,80.5500465510588,78.15859763598162,69.67655468444566,65.32088671233292,63.33178446444028,68.46188436626097,85.50001273844546,77.91732697390714,59.365761037291215,66.11494123668719,66.81820934166376,63.10895335302273,73.96050945552548,71.02345709127705,81.41324272382452,54.64672715604682,67.44824420569634,61.670324036602956,56.3710492289935,55.90136258119324,78.05238621702861,69.47151251283816,59.88676227384079,67.44812085397209,68.67085944228218,57.08254280430851,66.14345359818468,75.18346365850827,58.53406378830456,72.85942818502028,58.501316708578,65.75399415212634,81.1245462169198,62.86964459293773,62.64250327222859,63.455978179677075,76.24143236227974,63.0375653799822,71.04910248972888,85.42490608943828,66.06363024231078,55.92731440951331,68.67604249566834,56.56855779693523,66.51383519014159,55.89439615330809,59.59197052257303
2018-11-01,65.96965940339054,66.45920216060671,64.88994815630396,56.67795258292379,51.142959680168026,51.83182231247253,57.3619221728416,78.58580265928632,67.49220837289138,44.53682178235919,50.48473132364632,53.00399580315996,44.41120224975906,59.576993218980746,59.03779319653621,69.29425731914782,41.94679436737929,56.09115623848474,50.69893786174795,41.61754528233008,35.239845417797625,65.72077839312546,54.97848670813178,39.725018317989935,51.96195380213927,54.14559094346731,44.93529170456629,54.94349507357054,59.92928534090504,45.71999681790401,62.51660161073372,36.32737383330496,53.42548163662392,67.29933673063054,49.12720257685656,50.828269111234576,52.75602765566256,65.47007326915652,44.79092469934756,59.141546225005555,72.37904090192399,51.18688584863847,43.7402167241618,58.14751216717551,44.44028928463454,55.699593510126746,38.2028480615153,44.46024365545772
2018-12-01,61.29231026171112,56.83961377137292,55.73465444544757,48.3736979344838,38.61620644818298,42.784208130933884,50.027775375029556,74.92944585674722,63.15236599870189,32.36985831054631,39.975623949402696,41.102915111192935,33.74205770942466,45.68654054502691,49.0157827468048,64.48091333199955,30.570259252764632,48.28986821425026,41.2576093892945,32.42863678938677,23.888437811634006,60.63832675788711,45.07479110838263,33.64561220029924,39.945734601679916,43.57172304668257,35.85118773618677,46.80375286934985,51.26904857176987,36.995075039935145,56.264136412416356,26.59906884654334,42.349282235997784,55.30057272045902,40.981517109597895,41.00460819293595,44.398533954816834,61.90012770288437,33.606247097235304,52.86756730558121,63.9559325222662,39.575279347302946,34.765546782412216,50.43076523526451,34.444243053305506,46.6041989730053,28.18205215534371,32.61708935493632
