,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2017-04-01,53.23329060050946,44.63869457048602,51.52639873268224,44.68956660256044,31.637169140386597,33.40597584833072,43.029417950575294,61.78588493018971,53.070150907847434,31.399531241803455,41.816986474880125,40.82788208333945,38.22871052504131,43.14795550154283,44.9055094240387,59.17958498960315,26.053525318167164,42.34610357444043,32.02702177694385,30.32817707604329,30.965474673968973,54.53705573585725,45.54176848749511,29.656215546925804,37.76810077765544,35.722739443139766,26.866457098149308,38.20706955746486,37.71114359140018,28.576250328037947,48.00484860163915,31.008241803523138,38.81062097619812,49.258975296857294,34.85336235066425,34.499370831878274,35.00819235634331,52.18354755131147,32.55424921671947,47.77271961714593,56.861266417686835,35.369198635535014,25.815582631047153,43.84066873530195,36.190118843572336,40.38804093033749,31.271345904265015,28.85131830222631
2017-05-01,61.02935040609001,50.77591344365169,59.067855824068346,50.01198223169747,38.914594862473095,46.59822409607978,55.23062446799962,67.4539061353893,61.30106191929233,38.46568230331857,53.04957522311488,52.29979144782658,49.71318361218663,51.93417370822489,54.95595645039711,65.60563632082945,39.40130420147393,54.38304836540352,45.29243763204128,42.968608267442725,44.50909540067751,62.0906326995357,54.282265973868626,39.135565351112575,45.94659673273552,42.44758397404702,40.4621741273627,50.86052133344399,44.8216903267546,42.91875038841576,57.94519648191538,44.420106684855675,50.89433677431404,57.387556464138655,40.547673941262765,46.87957041717308,47.37083229838823,61.346090624212785,44.38250877592782,57.197760876632536,63.13773941410521,42.75083453460408,40.081307885193304,54.466180990601266,42.505674870574985,51.014378850000796,43.91392909075707,36.63532410421241
2017-06-01,69.84361708735499,62.494094857414986,69.08759903843988,58.36912486532266,50.501785163854315,55.366735304127644,63.58775039995095,73.6467792384338,69.6010506443907,46.06499041020857,62.90911504335441,61.40409826431587,61.24316759981593,63.88833441532869,63.32108290225077,74.06852343227168,48.30366786302136,62.8116104366558,53.69419157689251,52.60273176651452,54.74453237433214,71.12194048866107,65.028447604127,46.03812250605151,58.6473538415225,52.71900392509811,48.9869510067988,59.162378768274735,57.17300710345518,51.49794087114298,66.1308969189089,54.33427061344945,59.32725603618285,68.66441656488259,46.74317756753123,55.12009205582732,55.77263388382814,69.67465392275204,54.895839399979025,65.95488648739234,71.64684376277364,53.97945480133665,48.566280355588404,62.537599470573916,48.220986596302524,59.04293364948752,54.420531105286415,46.83132227377908
2017-07-01,72.30075187940682,68.54634581127367,70.8542878199778,63.540525023223005,54.80251613894873,62.83735562870371,69.23059777750663,75.47508942477069,72.44389819420378,51.87599426411256,66.3587845289489,64.78798200969679,64.82652285082685,68.13989898711156,67.04937785173682,74.8121277187271,55.25943298008654,67.7115985744517,61.005055337915664,57.86472471046941,60.1443319419025,72.6243750003808,67.88170707729057,53.76749706353525,62.851127995559665,59.747546077151746,55.91836677841342,65.98684922183091,61.237836254375395,57.75682317369779,69.90231798924839,59.69900212860059,63.92539816498512,71.38786548790439,52.1501529437681,60.6910350071047,63.74654214513444,72.84607344967931,60.203826365737875,69.09773327675528,73.70224406712396,60.407834738494884,54.58317963299025,66.86616241778866,53.446850065058975,63.08578064276334,59.68383608951065,51.84882205975734
2017-08-01,71.41504451374949,67.181518362563,71.34075838483767,62.56910045982862,52.29692475927358,58.672457800596305,65.8020370315388,75.8372708592846,71.7296147920716,50.729892830420496,64.69080970362114,63.29040644811547,62.497776206795535,66.31845496603157,66.16350002298876,75.87314200234884,52.309447487930726,64.69733188256484,56.726441625052814,55.95310952260246,57.26437084773816,72.90658971164068,66.80046910037176,52.48475919233497,60.863321602207115,57.561837347928424,52.07302276941152,62.38563502137606,58.892065028222696,55.12715847277681,68.20232193950075,57.51080411423698,61.967402235152115,70.65981059783257,51.65259319881744,58.004718855267235,59.496008247843065,71.60321984258074,58.734413455365186,67.28345537344751,72.41923321438311,58.3363853707331,51.75438806982116,64.70902985547207,53.50318121061577,61.22864416990894,57.014410794156035,49.6679249375396
2017-09-01,65.5007994274268,61.218291217251355,63.04135929770595,58.59766183673685,46.49618479766847,51.876265127835715,60.25920451875105,73.36750849862469,66.2153579689339,43.815532315892,55.36765763352548,54.542409637975474,51.989606771108676,55.820658905382444,57.90094074217013,70.53192279679263,44.20450008797999,58.76879986271895,49.96227472041793,46.3156602938126,46.36120113951432,66.43996444182768,57.156264761027956,44.07814870657065,51.104453544549074,50.56184254812687,44.41102641941137,55.60622299008302,53.76595623969441,47.13582536426828,62.745194305397284,45.95641800627607,53.38077630013828,61.542628540993974,45.475990838638104,50.59750589312374,53.01481685583536,66.24609962913661,48.4819778917582,60.32633717513689,67.33727158603706,50.879310827929466,44.147233079242696,58.85191582617983,47.49445793965632,54.81437568099643,46.74039165675304,42.977273754769115
2017-10-01,52.95798443664799,50.21707683011095,51.208931945586265,50.96911402830925,36.41080392937693,43.17258441018952,48.8306473626246,65.05148053169339,54.25824595704386,36.28421487245975,44.79106145078341,44.180750906801315,40.79682414759183,43.85047663808368,46.62258206535751,57.568835373634215,37.52699623412871,47.39737546888057,41.95406807581951,38.32222579460968,36.91359001136473,53.340557763727986,46.318547859424136,33.66360836982942,39.64286070085586,41.0475789193688,38.213767340523866,46.03347872185184,42.9077816115161,40.21050068111421,50.330931224758416,34.72403684849022,43.84746636276485,49.779150695741805,39.8583035968392,41.94469967786358,44.60104880597124,53.54612534044144,36.61818537448794,48.2692306151105,57.065624424082486,40.36515972180663,38.12462108949301,46.966215424962535,40.81868252321007,43.90011473605476,36.95991378872077,33.784199527016845
2017-11-01,43.229425643287435,38.43738065876958,39.38370689239363,41.46911804103611,24.206007873296258,29.60336311596445,37.359248061345326,57.34224626815313,44.11541146930946,25.49256601035011,31.975883832192018,31.548746726947805,27.172798327403456,30.376518065781262,33.48737525216408,46.906576352664025,23.944238524223124,35.86883615057306,28.758511829666848,26.991450415836585,20.122684497038932,42.14703628580304,33.60976413161431,20.014461207113072,27.222622174443362,29.60473021637363,23.870989044499858,32.533619028416005,31.081898507547617,26.154243694454035,39.088094639295335,15.983519853731071,30.906452909677334,37.320474501341835,31.69367936547501,28.638695369670256,31.951024175680843,42.67471900166086,21.25150344205835,38.05496602045212,46.06831361109196,27.979395326060605,23.336584876353285,35.29481033451381,31.832524234105165,32.41442577333533,24.494661556417995,21.27333299481102
2017-12-01,40.57294613047702,32.287129665196645,33.11096501860737,36.338557928744194,14.585339194082634,22.313179690796368,33.03475501716764,55.00037268074887,41.92806690072988,17.125470746571175,21.833108951280447,23.183760027280993,15.19192260502274,20.57283344686481,28.999484276989794,43.29061599523982,13.291560076169265,31.566533369036897,21.09330088092949,16.606090259436527,6.042558065793769,39.01049974658322,24.28004595560054,13.304623982990305,15.015827775414731,23.187208624279005,15.181931743375987,26.667894922535574,24.185078969845428,17.51651465590304,36.379038874044305,5.176393110603849,24.897312194243717,28.494771432590113,24.880665092300024,22.83583433133117,24.976754299600366,40.37692348335636,9.76357210298682,34.50962566471429,41.059236800324015,20.0479012161068,13.955299519300246,32.045224976695565,26.28016606189498,29.392383756024845,11.830978730153756,10.55284398387994
2018-01-01,35.809968804729415,31.72964934666655,31.568390653158026,37.392047938003465,14.925173387609771,16.518127503529307,25.95778986517115,49.775409917258784,36.98168753726721,17.267482664287613,18.90838656837218,19.846032640328154,12.154359767141733,19.73177592031216,26.242301121441763,42.940686464201214,3.195240890631453,24.436444828957033,14.75221182380534,10.732814193861374,1.2887245234654259,37.67757054233611,21.84187585349004,14.555524583828465,15.184287063347032,23.69818712827677,6.250852347255693,21.571179099682073,23.461531910204393,10.47385736197215,30.87057873039405,3.4171850085176607,19.88713353553029,26.505715304013318,25.735267445312342,17.346935549606073,18.890159914486496,35.33054446556882,9.902303540892833,28.91011381222757,38.212444905834104,19.114312763246748,4.807301209800675,26.088849833905023,27.028672522233208,22.144849730003013,6.274033406858981,11.461762068172039
